"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"Wichita",2018,NA,50758,338339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.3,0.3103,502,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2018,NA,94537,151372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,0.2906,817,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2017,NA,91997,845018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.54,0.2852,3232,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2017,NA,39054,336944,1903,6932,NA,NA,NA,NA,0.0487,0.0206,0.0282,2.3685,57.52,0.3116,627,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2017,NA,2350,40380,315,2682,22,32,NA,NA,0.134,0.0664,0.0676,2.0181,51.07,0.3017,1122,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2017,NA,369247,482175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,0.2825,3837,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2017,NA,139976,162409,12775,6982,NA,NA,NA,NA,0.0913,0.043,0.0483,2.1229,71.84,0.3166,4862,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2017,NA,280844,592927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.69,0.3138,5184,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2017,NA,122529,145205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2495,2511,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2017,NA,101005,108236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.63,0.2601,440,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2017,NA,134679,156021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.91,0.2397,998,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2017,NA,65711,56988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93,0.3003,2333,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2017,NA,647300,1624078,75442,137271,NA,NA,NA,NA,0.1165,0.0845,0.032,1.3789,51.26,0.258,4651,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2017,11,89288,107182,7044,6028,NA,NA,NA,NA,0.0861,0.0614,0.0247,1.4027,61.89,0.284,547,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2017,NA,586130,3351900,114806,89335,NA,NA,NA,NA,0.1959,0.0267,0.1692,7.3492,64.39,0.2655,14424,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2017,NA,148457,464670,9401,17812,673,763,2,0,0.0633,0.0383,0.025,1.652,71.64,0.3107,2628,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2017,9,20531,233266,4505,13153,NA,NA,NA,NA,0.2926,0.0752,0.2174,3.8914,55.66,0.3221,3236,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
