"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","StanSearchBl","StanSearchWh","StanFriskBl","StanFriskWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","WhitePopShare","HispPoliceShare","HispPopShare","BlackPoliceShare","BlackPopShare","AsianPoliceShare","AsianPopShare","PoliceRatioWhBl","None"
"San Francisco",2015,NA,59203,496859,14990,29867,2344,662,NA,NA,0.2532,0.0601,0.1931,4.2121,47.64,0.2568,9493,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2015,NA,68847,919235,1470,3161,347,407,NA,NA,0.0214,0.0034,0.0179,6.2092,47.64,0.293,3295,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2015,NA,68633,234736,3889,2827,981,319,NA,NA,0.0567,0.012,0.0446,4.705,61.89,0.2847,485,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2015,NA,104540,266720,37936,80724,NA,NA,NA,NA,0.3629,0.3027,0.0602,1.199,68.72,0.2979,2989,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2015,NA,77765,319299,4706,18571,NA,NA,NA,NA,0.0605,0.0582,0.0024,1.0405,40.59,0.3163,483,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2015,NA,51507,335066,8543,37903,NA,NA,NA,NA,0.1659,0.1131,0.0527,1.4662,38.3,0.2906,450,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2015,NA,93943,145856,13524,10303,262,143,5,2,0.144,0.0706,0.0733,2.038,67.91,0.2838,656,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2014,NA,88765,785411,5104,18992,474,603,187,367,0.0575,0.0242,0.0333,2.3779,52.54,0.3041,1664,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2014,NA,41049,322728,2934,12550,NA,NA,NA,NA,0.0715,0.0389,0.0326,1.838,57.52,0.3057,205,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2014,NA,2106,40490,425,4981,8,30,NA,NA,0.2018,0.123,0.0788,1.6404,51.07,0.3325,435,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2014,NA,369491,430504,76263,50980,3887,1107,75,10,0.2064,0.1184,0.088,1.743,73,0.3331,1443,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2014,NA,140592,159462,14616,9957,NA,NA,NA,NA,0.104,0.0624,0.0415,1.6649,71.84,0.3314,1517,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2014,NA,265824,570773,11290,12978,1015,629,NA,NA,0.0425,0.0227,0.0197,1.8679,75.69,0.3204,2193,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2014,NA,118388,132459,14200,6840,1191,212,46,7,0.1199,0.0516,0.0683,2.3228,60.63,0.2875,1395,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2014,NA,98866,106749,19780,12218,862,204,38,7,0.2001,0.1145,0.0856,1.748,60.63,0.2301,139,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2014,NA,129644,152041,22440,13321,915,275,14,6,0.1731,0.0876,0.0855,1.9756,67.91,0.233,753,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2014,NA,67745,55843,2971,2511,1689,1504,NA,NA,0.0439,0.045,-0.0011,0.9753,63.93,0.3025,1081,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2014,NA,639862,1558181,108499,144059,NA,NA,NA,NA,0.1696,0.0925,0.0771,1.8341,51.26,NA,2621,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2014,NA,89497,105711,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.2722,474,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2014,NA,598079,3277633,106267,132679,NA,NA,NA,NA,0.1777,0.0405,0.1372,4.3893,64.39,0.2837,6504,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2014,NA,143371,462988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.64,0.3201,950,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2014,NA,20215,224759,5901,19325,NA,NA,NA,NA,0.2919,0.086,0.2059,3.3951,55.66,0.3257,1496,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2014,NA,192785,439369,155572,224707,9106,6263,4403,2643,0.807,0.5114,0.2955,1.5779,63.43,0.2658,938,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2014,NA,233960,130453,22334,9328,3089,727,2191,364,0.0955,0.0715,0.024,1.335,61.94,0.2963,684,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2014,NA,174224,237654,11946,3661,2447,144,NA,NA,0.0686,0.0154,0.0532,4.451,47.64,0.2536,5734,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2014,NA,114614,498744,16562,72377,NA,NA,NA,NA,0.1445,0.1451,-6e-04,0.9958,58.92,0.3446,524,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2014,NA,724476,702852,132871,51563,4821,1766,10495,1657,0.1834,0.0734,0.11,2.5,77.93,0.2936,5808,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2014,NA,82460,220836,8518,13198,8518,13198,1191,724,0.1033,0.0598,0.0435,1.7284,76.08,0.3475,1874,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2014,NA,147721,287361,30964,27760,1666,834,22,6,0.2096,0.0966,0.113,2.1698,60.63,0.3122,1008,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2014,NA,118720,1306396,13841,50766,192,538,NA,NA,0.1166,0.0389,0.0777,3.0002,46.23,0.3198,717,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2014,NA,132190,1226967,15508,59997,1598,1894,NA,NA,0.1173,0.0489,0.0684,2.3992,52.04,0.306,2057,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2014,NA,59128,490886,14039,33651,2116,613,NA,NA,0.2374,0.0686,0.1689,3.4636,47.64,0.2536,5734,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2014,NA,68238,911417,1677,3565,447,548,NA,NA,0.0246,0.0039,0.0207,6.283,47.64,0.2958,1979,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2014,NA,69413,231623,1815,1449,566,121,NA,NA,0.0261,0.0063,0.0199,4.1797,61.89,0.2516,131,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2014,NA,103446,260704,49531,104968,NA,NA,NA,NA,0.4788,0.4026,0.0762,1.1892,68.72,0.3185,1389,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2014,NA,77851,318181,6156,23136,NA,NA,NA,NA,0.0791,0.0727,0.0064,1.0875,40.59,0.2728,356,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2014,NA,51754,333979,9666,41239,NA,NA,NA,NA,0.1868,0.1235,0.0633,1.5126,38.3,0.3129,207,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2014,NA,93726,144037,17294,14141,378,187,4,0,0.1845,0.0982,0.0863,1.8794,67.91,0.2978,310,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2013,NA,87593,765636,5543,19421,557,542,251,304,0.0633,0.0254,0.0379,2.4947,52.54,0.3247,1019,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2013,NA,41665,318038,1485,6058,NA,NA,NA,NA,0.0356,0.019,0.0166,1.8711,57.52,0.342,177,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2013,NA,2025,40526,368,4414,20,64,NA,NA,0.1817,0.1089,0.0728,1.6685,51.07,0.3116,431,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2013,NA,368928,413924,65110,43232,3693,865,63,10,0.1765,0.1044,0.072,1.6897,73,0.3046,1123,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2013,NA,140792,158485,14044,10715,NA,NA,NA,NA,0.0997,0.0676,0.0321,1.4754,71.84,0.3496,1078,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2013,NA,260878,563328,9822,12160,842,530,NA,NA,0.0376,0.0216,0.0161,1.7442,75.69,0.3213,1866,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2013,NA,116900,128318,17312,8019,1331,242,75,5,0.1481,0.0625,0.0856,2.3697,60.63,0.3057,994,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2013,NA,98156,106251,16952,9621,993,228,79,19,0.1727,0.0905,0.0822,1.9073,60.63,0.2081,172,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2013,NA,127978,150703,26629,18026,1398,470,26,4,0.2081,0.1196,0.0885,1.7396,67.91,0.3229,499,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2013,3,68429,55456,688,602,16,12,NA,NA,0.0402,0.0434,-0.0032,0.9262,63.93,0.3797,894,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2013,NA,637182,1536416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.26,0.2829,1675,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2013,NA,89564,105223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.299,475,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2013,NA,601910,3253029,115285,147591,NA,NA,NA,NA,0.1915,0.0454,0.1462,4.2215,64.39,0.3246,4798,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2013,NA,141693,462411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.64,0.3191,695,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2013,NA,20104,221929,6049,20672,NA,NA,NA,NA,0.3009,0.0931,0.2077,3.2302,55.66,0.3444,1049,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2013,NA,190266,434156,160926,220163,9393,6413,5058,2893,0.8458,0.5071,0.3387,1.6679,63.43,0.3305,560,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2013,NA,231007,128260,16181,4759,3231,513,2260,306,0.07,0.0371,0.0329,1.8878,61.94,0.2649,466,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2013,10,174519,232061,5562,1443,1099,67,NA,NA,0.0382,0.0075,0.0308,5.1254,47.64,0.2825,3442,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2013,NA,114148,490870,15759,67000,NA,NA,NA,NA,0.1381,0.1365,0.0016,1.0115,58.92,0.3304,335,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2013,NA,722041,701481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.93,0.3226,4208,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2013,NA,83498,220400,10316,15842,10316,15842,1360,859,0.1235,0.0719,0.0517,1.7188,76.08,0.3666,1291,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2013,NA,144863,282421,28018,22653,1089,374,27,8,0.1934,0.0802,0.1132,2.4113,60.63,0.3131,691,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2013,NA,117906,1282783,14997,58810,250,530,NA,NA,0.1272,0.0458,0.0813,2.7744,46.23,0.3236,520,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2013,NA,132572,1213646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.04,0.345,1722,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2013,NA,59256,485386,12714,28386,2096,649,NA,NA,0.2146,0.0585,0.1561,3.6689,47.64,0.2825,3442,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2013,5,67629,903597,723,1341,178,222,NA,NA,0.0257,0.0036,0.0221,7.2036,47.64,0.3389,1451,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2013,NA,70174,228530,1841,1710,457,157,NA,NA,0.0262,0.0075,0.0188,3.5061,61.89,0.3663,144,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2013,NA,102317,254723,55318,134912,NA,NA,NA,NA,0.5407,0.5296,0.011,1.0208,68.72,0.3421,1473,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2013,NA,77936,317065,7180,27732,NA,NA,NA,NA,0.0921,0.0875,0.0047,1.0533,40.59,0.3447,136,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2013,NA,51999,332892,9409,38186,NA,NA,NA,NA,0.1809,0.1147,0.0662,1.5774,38.3,0.3658,149,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2013,NA,93498,142228,17357,15237,398,240,2,3,0.1856,0.1071,0.0785,1.7328,67.91,0.3244,280,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2012,NA,86375,745908,5152,17938,530,524,210,266,0.0596,0.024,0.0356,2.4803,52.54,0.3302,910,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2012,NA,42258,313373,2005,9651,NA,NA,NA,NA,0.0474,0.0308,0.0166,1.5406,57.52,0.398,160,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2012,NA,1944,40563,468,5481,9,46,NA,NA,0.2407,0.1351,0.1056,1.7816,51.07,0.3699,432,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2012,NA,368043,397667,55797,38112,3253,785,62,7,0.1516,0.0958,0.0558,1.5819,73,0.3121,1059,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2012,NA,140988,157511,19500,17013,NA,NA,NA,NA,0.1383,0.108,0.0303,1.2805,71.84,0.3489,1075,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2012,NA,255963,555852,11796,14976,959,580,NA,NA,0.0461,0.0269,0.0191,1.7105,75.69,0.3653,1485,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2012,NA,115358,124230,16358,7464,1449,341,53,10,0.1418,0.0601,0.0817,2.3601,60.63,0.3133,756,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2012,NA,97448,105751,25463,14173,1442,417,101,25,0.2613,0.134,0.1273,1.9497,60.63,0.1919,140,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2012,NA,126318,149358,26644,19553,1332,438,33,5,0.2109,0.1309,0.08,1.6112,67.91,0.3003,574,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2012,NA,69114,55067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93,0.378,823,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2012,NA,634403,1514750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.26,0.3075,1622,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2012,NA,89630,104735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.2658,377,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2012,NA,605666,3228501,116744,156494,NA,NA,NA,NA,0.1928,0.0485,0.1443,3.9765,64.39,0.3319,4128,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2012,NA,140024,461825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.64,0.3287,890,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2012,NA,19989,219103,6245,21477,NA,NA,NA,NA,0.3124,0.098,0.2144,3.1872,55.66,0.3284,928,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2012,NA,187750,428938,173397,237629,9184,7322,4935,3152,0.9236,0.554,0.3696,1.6671,63.43,0.3226,553,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2012,NA,228044,126077,24866,8631,3757,727,2598,454,0.109,0.0685,0.0406,1.5928,61.94,0.2971,394,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2012,NA,174767,226535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.2909,2804,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2012,NA,113652,483026,13691,62895,NA,NA,NA,NA,0.1205,0.1302,-0.0097,0.9252,58.92,0.3208,420,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2012,NA,718625,702032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.93,0.3395,3495,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2012,NA,84539,219961,11305,18480,11305,18480,1359,979,0.1337,0.084,0.0497,1.5917,76.08,0.3646,1337,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2012,NA,142013,277474,31829,25786,1167,374,33,5,0.2241,0.0929,0.1312,2.4118,60.63,0.3367,754,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2012,NA,117050,1259212,14788,57741,366,550,NA,NA,0.1263,0.0459,0.0805,2.7552,46.23,0.3341,621,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2012,NA,132923,1200356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.04,0.3509,1171,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2012,NA,59162,480223,13533,34405,2364,1004,NA,NA,0.2287,0.0716,0.1571,3.1928,47.64,0.2909,2804,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2012,NA,67021,895778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.3359,1228,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2012,NA,70914,225457,624,690,104,51,NA,NA,0.0088,0.0031,0.0057,2.8752,61.89,0.3095,129,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2012,NA,101152,248777,55275,136494,NA,NA,NA,NA,0.5465,0.5487,-0.0022,0.996,68.72,0.3248,1119,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2012,NA,78019,315950,7429,31825,NA,NA,NA,NA,0.0952,0.1007,-0.0055,0.9453,40.59,0.3377,243,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2012,NA,52242,331808,11556,45154,NA,NA,NA,NA,0.2212,0.1361,0.0851,1.6255,38.3,0.2536,173,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2012,NA,93260,140429,16641,15422,339,301,9,2,0.1784,0.1098,0.0686,1.6248,67.91,0.2813,387,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
"Austin",2011,NA,85110,726226,5990,23272,597,512,223,253,0.0704,0.032,0.0383,2.1963,52.54,0.3291,1009,"South",69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95,1
"Bakersfield",2011,NA,42825,308731,2494,16083,NA,NA,NA,NA,0.0582,0.0521,0.0061,1.1179,57.52,0.3809,176,"West",75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06,1
"Burlington",2011,NA,1863,40599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.07,0.3735,311,"Northeast",92,88.9,2,2.7,2,3.9,4,3.6,46,1
"Charlotte",2011,NA,366835,381731,69356,48190,4001,1170,76,18,0.1891,0.1262,0.0628,1.4977,73,0.2838,1354,"South",77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68,1
"Cincinti",2011,NA,141182,156541,23670,18231,NA,NA,NA,NA,0.1677,0.1165,0.0512,1.4396,71.84,0.3074,1622,"Midwest",66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16,1
"Columbus",2011,NA,251078,548347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75.69,0.3616,1496,"Midwest",86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65,1
"Durham",2011,NA,113763,120196,17744,8910,1566,308,82,9,0.156,0.0741,0.0818,2.1041,60.63,0.3207,823,"South",64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18,1
"Fayetteville",2011,NA,96741,105249,31860,19567,1925,613,151,50,0.3293,0.1859,0.1434,1.7715,60.63,0.1908,244,"South",71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87,1
"Greensboro",2011,NA,124664,148007,24155,18873,1403,505,41,7,0.1938,0.1275,0.0662,1.5195,67.91,0.1836,419,"South",75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87,1
"Hartford",2011,NA,69803,54676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.93,0.3577,1157,"Northeast",64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22,1
"Houston",2011,NA,631524,1493184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.26,0.2566,2180,"South",45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98,1
"Little Rock",2011,NA,89696,104249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.25,469,"South",68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46,1
"Los Angeles",2011,NA,609345,3204049,122746,172299,NA,NA,NA,NA,0.2014,0.0538,0.1477,3.7459,64.39,0.3199,5458,"West",35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05,1
"Louisville",2011,NA,138363,461230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.64,0.3291,998,"South",84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25,1
"Madison",2011,NA,19871,216279,5664,18681,NA,NA,NA,NA,0.285,0.0864,0.1987,3.3,55.66,0.352,811,"Midwest",80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78,1
"shville",2011,NA,185238,423717,153026,210518,8586,7049,5285,3636,0.8261,0.4968,0.3293,1.6627,63.43,0.2957,739,"South",84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,1
"New Orleans",2011,NA,225070,123905,29053,11605,2239,521,1386,290,0.1291,0.0937,0.0354,1.3782,61.94,0.278,608,"South",38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,1
"Oakland",2011,NA,174939,221074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.313,4054,"West",42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,1
"Oklahoma City",2011,NA,113127,475212,8626,39056,NA,NA,NA,NA,0.0763,0.0822,-0.0059,0.9278,58.92,0.3235,547,"South",85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,1
"Philadelphia",2011,NA,713378,699022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.93,0.344,5075,"Northeast",56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,1
"Pittsburgh",2011,NA,85584,219518,10609,18674,10609,18674,1486,904,0.124,0.0851,0.0389,1.4572,76.08,0.3765,1512,"Northeast",84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1
"Raleigh",2011,NA,208854,649405,36739,31840,1293,434,46,8,0.1759,0.049,0.1269,3.5878,60.63,0.3012,1016,"South",83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,1
"San Antonio",2011,NA,116151,1235684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.23,0.317,872,"South",42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,1
"San Diego",2011,NA,133243,1187098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.04,0.3478,1524,"West",65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,1
"San Francisco",2011,NA,59519,472079,16089,42332,2867,1386,NA,NA,0.2703,0.0897,0.1806,3.0145,47.64,0.313,4054,"West",52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,1
"San Jose",2011,NA,66412,887958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.64,0.3408,1541,"West",56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,1
"Stockton",2011,1,71634,222405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.89,0.306,274,"West",65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,1
"Tampa",2011,NA,99952,242868,53409,104144,NA,NA,NA,NA,0.5343,0.4288,0.1055,1.2461,68.72,0.356,1646,"South",69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,1
"Tulsa",2011,NA,78101,314837,8484,33506,NA,NA,NA,NA,0.1086,0.1064,0.0022,1.0207,40.59,0.3283,343,"South",76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,1
"Wichita",2011,NA,52484,330725,13241,48722,NA,NA,NA,NA,0.2523,0.1473,0.105,1.7125,38.3,0.3752,310,"Midwest",81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,1
"Winston-Salem",2011,NA,93013,138640,18096,17506,348,309,2,5,0.1946,0.1263,0.0683,1.5408,67.91,0.3489,484,"South",80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,1
