City,year,partialYearMonths,BlackPop,WhitePop,StanfordStopsBl,StanfordStopsWh,BlackProp,WhiteProp,DiffBlackMinusWhite,RatioBlackWhite,animus_score,implicit_score_mean,implicit_nobs,Region,WhitePoliceShare,WhitePopShare,HispPoliceShare,HispPopShare,BlackPolShare,BlackPopShare,AsianPoliceShare,AsianPopShare,PoliceRatioWhBl
San Jose,2014,,68238,911417,1677,3565,0.0246,0.0039,0.0207,6.2830,47.64,0.2958,1979,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2014,,69413,231623,1815,1449,0.0261,0.0063,0.0199,4.1797,61.89,0.2516,131,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2014,,103446,260704,49531,104968,0.4788,0.4026,0.0762,1.1892,68.72,0.3185,1389,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2014,,77851,318181,6156,23136,0.0791,0.0727,0.0064,1.0875,40.59,0.2728,356,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2014,,51754,333979,9666,41239,0.1868,0.1235,0.0633,1.5126,38.3,0.3129,207,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2014,,93726,144037,17294,14141,0.1845,0.0982,0.0863,1.8794,67.91,0.2978,310,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2013,,87593,765636,5543,19421,0.0633,0.0254,0.0379,2.4947,52.54,0.3247,1019,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2013,,41665,318038,1485,6058,0.0356,0.0190,0.0166,1.8711,57.52,0.3420,177,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2013,,2025,40526,368,4414,0.1817,0.1089,0.0728,1.6685,51.07,0.3116,431,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2013,,368928,413924,65110,43232,0.1765,0.1044,0.0720,1.6897,73,0.3046,1123,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2013,,140792,158485,14044,10715,0.0997,0.0676,0.0321,1.4754,71.84,0.3496,1078,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2013,,260878,563328,9822,12160,0.0376,0.0216,0.0161,1.7442,75.69,0.3213,1866,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2013,,116900,128318,17312,8019,0.1481,0.0625,0.0856,2.3697,60.63,0.3057,994,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2013,,98156,106251,16952,9621,0.1727,0.0905,0.0822,1.9073,60.63,0.2081,172,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2013,,127978,150703,26629,18026,0.2081,0.1196,0.0885,1.7396,67.91,0.3229,499,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2013,3,68429,55456,688,602,0.0402,0.0434,-0.0032,0.9262,63.93,0.3797,894,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2013,,637182,1536416,,,,,,,51.26,0.2829,1675,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2013,,89564,105223,,,,,,,61.89,0.2990,475,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2013,,601910,3253029,115285,147591,0.1915,0.0454,0.1462,4.2215,64.39,0.3246,4798,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2013,,141693,462411,,,,,,,71.64,0.3191,695,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2013,,20104,221929,6049,20672,0.3009,0.0931,0.2077,3.2302,55.66,0.3444,1049,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2013,,190266,434156,160926,220163,0.8458,0.5071,0.3387,1.6679,63.43,0.3305,560,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2013,,231007,128260,16181,4759,0.0700,0.0371,0.0329,1.8878,61.94,0.2649,466,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2013,10,174519,232061,5562,1443,0.0382,0.0075,0.0308,5.1254,47.64,0.2825,3442,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2013,,114148,490870,15759,67000,0.1381,0.1365,0.0016,1.0115,58.92,0.3304,335,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2013,,722041,701481,,,,,,,77.93,0.3226,4208,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2013,,83498,220400,10316,15842,0.1235,0.0719,0.0517,1.7188,76.08,0.3666,1291,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2013,,144863,282421,28018,22653,0.1934,0.0802,0.1132,2.4113,60.63,0.3131,691,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2013,,117906,1282783,14997,58810,0.1272,0.0458,0.0813,2.7744,46.23,0.3236,520,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2013,,132572,1213646,,,,,,,52.04,0.3450,1722,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2013,,59256,485386,12714,28386,0.2146,0.0585,0.1561,3.6689,47.64,0.2825,3442,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2013,5,67629,903597,723,1341,0.0257,0.0036,0.0221,7.2036,47.64,0.3389,1451,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2013,,70174,228530,1841,1710,0.0262,0.0075,0.0188,3.5061,61.89,0.3663,144,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2013,,102317,254723,55318,134912,0.5407,0.5296,0.0110,1.0208,68.72,0.3421,1473,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2013,,77936,317065,7180,27732,0.0921,0.0875,0.0047,1.0533,40.59,0.3447,136,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2013,,51999,332892,9409,38186,0.1809,0.1147,0.0662,1.5774,38.3,0.3658,149,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2013,,93498,142228,17357,15237,0.1856,0.1071,0.0785,1.7328,67.91,0.3244,280,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2012,,86375,745908,5152,17938,0.0596,0.0240,0.0356,2.4803,52.54,0.3302,910,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2012,,42258,313373,2005,9651,0.0474,0.0308,0.0166,1.5406,57.52,0.3980,160,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2012,,1944,40563,468,5481,0.2407,0.1351,0.1056,1.7816,51.07,0.3699,432,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2012,,368043,397667,55797,38112,0.1516,0.0958,0.0558,1.5819,73,0.3121,1059,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2012,,140988,157511,19500,17013,0.1383,0.1080,0.0303,1.2805,71.84,0.3489,1075,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2012,,255963,555852,11796,14976,0.0461,0.0269,0.0191,1.7105,75.69,0.3653,1485,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2012,,115358,124230,16358,7464,0.1418,0.0601,0.0817,2.3601,60.63,0.3133,756,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2012,,97448,105751,25463,14173,0.2613,0.1340,0.1273,1.9497,60.63,0.1919,140,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2012,,126318,149358,26644,19553,0.2109,0.1309,0.0800,1.6112,67.91,0.3003,574,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2012,,69114,55067,,,,,,,63.93,0.3780,823,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2012,,634403,1514750,,,,,,,51.26,0.3075,1622,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2012,,89630,104735,,,,,,,61.89,0.2658,377,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2012,,605666,3228501,116744,156494,0.1928,0.0485,0.1443,3.9765,64.39,0.3319,4128,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2012,,140024,461825,,,,,,,71.64,0.3287,890,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2012,,19989,219103,6245,21477,0.3124,0.0980,0.2144,3.1872,55.66,0.3284,928,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2012,,187750,428938,173397,237629,0.9236,0.5540,0.3696,1.6671,63.43,0.3226,553,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2012,,228044,126077,24866,8631,0.1090,0.0685,0.0406,1.5928,61.94,0.2971,394,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2012,,174767,226535,,,,,,,47.64,0.2909,2804,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2012,,113652,483026,13691,62895,0.1205,0.1302,-0.0097,0.9252,58.92,0.3208,420,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2012,,718625,702032,,,,,,,77.93,0.3395,3495,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2012,,84539,219961,11305,18480,0.1337,0.0840,0.0497,1.5917,76.08,0.3646,1337,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2012,,142013,277474,31829,25786,0.2241,0.0929,0.1312,2.4118,60.63,0.3367,754,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2012,,117050,1259212,14788,57741,0.1263,0.0459,0.0805,2.7552,46.23,0.3341,621,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2012,,132923,1200356,,,,,,,52.04,0.3509,1171,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2012,,59162,480223,13533,34405,0.2287,0.0716,0.1571,3.1928,47.64,0.2909,2804,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2012,,67021,895778,,,,,,,47.64,0.3359,1228,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2012,,70914,225457,624,690,0.0088,0.0031,0.0057,2.8752,61.89,0.3095,129,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2012,,101152,248777,55275,136494,0.5465,0.5487,-0.0022,0.9960,68.72,0.3248,1119,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2012,,78019,315950,7429,31825,0.0952,0.1007,-0.0055,0.9453,40.59,0.3377,243,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2012,,52242,331808,11556,45154,0.2212,0.1361,0.0851,1.6255,38.3,0.2536,173,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2012,,93260,140429,16641,15422,0.1784,0.1098,0.0686,1.6248,67.91,0.2813,387,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2011,,85110,726226,5990,23272,0.0704,0.0320,0.0383,2.1963,52.54,0.3291,1009,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2011,,42825,308731,2494,16083,0.0582,0.0521,0.0061,1.1179,57.52,0.3809,176,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2011,,1863,40599,,,,,,,51.07,0.3735,311,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2011,,366835,381731,69356,48190,0.1891,0.1262,0.0628,1.4977,73,0.2838,1354,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2011,,141182,156541,23670,18231,0.1677,0.1165,0.0512,1.4396,71.84,0.3074,1622,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2011,,251078,548347,,,,,,,75.69,0.3616,1496,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2011,,113763,120196,17744,8910,0.1560,0.0741,0.0818,2.1041,60.63,0.3207,823,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2011,,96741,105249,31860,19567,0.3293,0.1859,0.1434,1.7715,60.63,0.1908,244,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2011,,124664,148007,24155,18873,0.1938,0.1275,0.0662,1.5195,67.91,0.1836,419,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2011,,69803,54676,,,,,,,63.93,0.3577,1157,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2011,,631524,1493184,,,,,,,51.26,0.2566,2180,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2011,,89696,104249,,,,,,,61.89,0.2500,469,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2011,,609345,3204049,122746,172299,0.2014,0.0538,0.1477,3.7459,64.39,0.3199,5458,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2011,,138363,461230,,,,,,,71.64,0.3291,998,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2011,,19871,216279,5664,18681,0.2850,0.0864,0.1987,3.3000,55.66,0.3520,811,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2011,,185238,423717,153026,210518,0.8261,0.4968,0.3293,1.6627,63.43,0.2957,739,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2011,,225070,123905,29053,11605,0.1291,0.0937,0.0354,1.3782,61.94,0.2780,608,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2011,,174939,221074,,,,,,,47.64,0.3130,4054,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2011,,113127,475212,8626,39056,0.0763,0.0822,-0.0059,0.9278,58.92,0.3235,547,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2011,,713378,699022,,,,,,,77.93,0.3440,5075,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2011,,85584,219518,10609,18674,0.1240,0.0851,0.0389,1.4572,76.08,0.3765,1512,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2011,,208854,649405,36739,31840,0.1759,0.0490,0.1269,3.5878,60.63,0.3012,1016,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2011,,116151,1235684,,,,,,,46.23,0.3170,872,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2011,,133243,1187098,,,,,,,52.04,0.3478,1524,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2011,,59519,472079,16089,42332,0.2703,0.0897,0.1806,3.0145,47.64,0.3130,4054,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2011,,66412,887958,,,,,,,47.64,0.3408,1541,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2011,1,71634,222405,,,,,,,61.89,0.3060,274,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2011,,99952,242868,53409,104144,0.5343,0.4288,0.1055,1.2461,68.72,0.3560,1646,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2011,,78101,314837,8484,33506,0.1086,0.1064,0.0022,1.0207,40.59,0.3283,343,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2011,,52484,330725,13241,48722,0.2523,0.1473,0.1050,1.7125,38.3,0.3752,310,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2011,,93013,138640,18096,17506,0.1946,0.1263,0.0683,1.5408,67.91,0.3489,484,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
Austin,2010,,83798,706592,6163,27194,0.0735,0.0385,0.0351,1.9110,52.54,0.3101,1247,South,69.2,49.3,20.5,33.9,8.7,7.5,1.6,6.5,7.95
Bakersfield,2010,,43368,304115,1371,11139,0.0316,0.0366,-0.0050,0.8631,57.52,0.3497,227,West,75,35.7,19.2,46.9,3.4,8,2.4,6.6,22.06
Burlington,2010,,1783,40634,,,,,,,51.07,0.3583,335,Northeast,92,88.9,2,2.7,2,3.9,4,3.6,46
Charlotte,2010,,365306,366118,77594,54730,0.2124,0.1495,0.0629,1.4209,73,0.2655,1491,South,77.2,44.2,3.7,13.4,16.5,34.5,2.1,5.1,4.68
Cincinti,2010,,141372,155573,29370,21641,0.2077,0.1391,0.0686,1.4935,71.84,0.3434,1404,Midwest,66.1,49.4,0.5,2.9,30.6,43,0.6,1.9,2.16
Columbus,2010,,246223,540810,,,,,,,75.69,0.3256,1819,Midwest,86.4,58.5,1.2,5.8,11.3,27.4,1,4.3,7.65
Durham,2010,,112114,116216,17694,8750,0.1578,0.0753,0.0825,2.0962,60.63,0.3081,948,South,64.4,38.1,4.6,13.8,29.6,40,0.2,4.8,2.18
Fayetteville,2010,,96036,104746,20257,12943,0.2109,0.1236,0.0874,1.7070,60.63,0.1965,308,South,71.9,40.8,5.4,11.1,18.6,39.8,2.6,2.7,3.87
Greensboro,2010,,123016,146650,27528,22431,0.2238,0.1530,0.0708,1.4630,67.91,0.2126,651,South,75.8,45.1,3.5,7.4,19.6,40.6,0.6,3.9,3.87
Hartford,2010,,70493,54282,,,,,,,63.93,0.3370,1187,Northeast,64.7,15.9,20.9,44.9,12.4,34.7,1.9,2.3,5.22
Houston,2010,,628546,1471717,,,,,,,51.26,0.2335,2570,South,45.1,25.8,25.3,43.8,22.8,22.7,6,6.2,1.98
Little Rock,2010,,89759,103765,,,,,,,61.89,0.2628,546,South,68.5,47.1,2.2,5.9,27.9,42,0.4,3,2.46
Los Angeles,2010,,612949,3179672,57975,122701,0.0946,0.0386,0.0560,2.4510,64.39,0.3122,5943,West,35.4,28.5,43.4,48.6,11.6,8.8,7.1,11.3,3.05
Louisville,2010,,136710,460627,,,,,,,71.64,0.3316,1051,South,84.8,67.7,2,4.8,11.7,22.5,1.4,2.3,7.25
Madison,2010,,19750,213459,5640,20535,0.2856,0.0962,0.1894,2.9685,55.66,0.3495,897,Midwest,80.1,76,5.4,6.5,10.3,7.2,2.1,7.4,7.78
shville,2010,,182731,418491,115027,169356,0.6295,0.4047,0.2248,1.5555,63.43,0.3243,941,South,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9
New Orleans,2010,,222087,121742,16384,6023,0.0738,0.0495,0.0243,1.4912,61.94,0.3110,718,South,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66
Oakland,2010,,175045,215680,,,,,,,47.64,0.3165,3192,West,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93
Oklahoma City,2010,,112570,467428,,,,,,,58.92,0.2904,483,South,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76
Philadelphia,2010,,706827,697346,,,,,,,77.93,0.3002,5210,Northeast,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7
Pittsburgh,2010,,86633,219071,9209,16509,0.1063,0.0754,0.0309,1.4106,76.08,0.3470,1614,Northeast,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9
Raleigh,2010,,136337,267555,40637,36504,0.2981,0.1364,0.1616,2.1846,60.63,0.3120,930,South,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87
San Antonio,2010,,115209,1212198,,,,,,,46.23,0.3366,1008,South,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83
San Diego,2010,,133530,1173872,,,,,,,52.04,0.3489,2165,West,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11
San Francisco,2010,,59964,466521,16976,47880,0.2831,0.1026,0.1805,2.7584,47.64,0.3165,3192,West,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82
San Jose,2010,,65805,880137,,,,,,,47.64,0.3484,1519,West,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98
Stockton,2010,,72334,219373,,,,,,,61.89,0.2194,248,West,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39
Tampa,2010,,98716,236993,57336,114560,0.5808,0.4834,0.0974,1.2016,68.72,0.3585,1637,South,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78
Tulsa,2010,,78181,313725,9469,32249,0.1211,0.1028,0.0183,1.1782,40.59,0.2743,352,South,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7
Wichita,2010,,52725,329643,15063,50924,0.2857,0.1545,0.1312,1.8493,38.3,0.3539,444,Midwest,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3
Winston-Salem,2010,,92756,136861,16568,15141,0.1786,0.1106,0.0680,1.6146,67.91,0.2453,310,South,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
