"City","year","partialYearMonths","BlackPop","WhitePop","StanfordStopsBl","StanfordStopsWh","BlackProp","WhiteProp","DiffBlackMinusWhite","RatioBlackWhite","animus_score","implicit_score_mean","implicit_nobs","Region","WhitePoliceShare","BlackPolShare","PoliceRatioWhBl"
"Philadelphia",2013,NA,722041,701481,NA,NA,NA,NA,NA,NA,77.93,0.3225561,4208,"Northeast",56.8,33.4,1.70059880239521
"Pittsburgh",2013,NA,83498,220400,10316,15842,0.123547869410046,0.0718784029038113,0.0516694665062345,1.71884550044023,76.08,0.3665965,1291,"Northeast",84.3,14.3,5.89510489510489
"Raleigh",2013,NA,144863,282421,28018,22653,0.193410325617998,0.0802100410380248,0.113200284579973,2.41129817557765,60.63,0.3131122,691,"South",83.8,12.2,6.86885245901639
"San Antonio",2013,NA,117906,1282783,14997,58810,0.12719454480688,0.045845634062815,0.0813489107440651,2.77440911020242,46.23,0.3235909,520,"South",42.3,5.4,7.83333333333333
"San Diego",2013,NA,132572,1213646,NA,NA,NA,NA,NA,NA,52.04,0.3450432,1722,"West",65.7,6.5,10.1076923076923
"San Francisco",2013,NA,59256,485386,12714,28386,0.214560550830296,0.0584812911785672,0.156079259651729,3.66887506254188,47.64,0.2825315,3442,"West",52.4,9,5.82222222222222
"San Jose",2013,5,67629,903597,723,1341,0.025657632080912,0.00356176481329619,0.0220958672676158,7.20362893842154,47.64,0.3389044,1451,"West",56.3,4.7,11.9787234042553
"Stockton",2013,NA,70174,228530,1841,1710,0.0262347878131502,0.00748260622237781,0.0187521815907724,3.50610295844398,61.89,0.3662646,144,"West",65.3,2.3,28.3913043478261
"Tampa",2013,NA,102317,254723,55318,134912,0.540653068405055,0.529642003274145,0.01101106513091,1.02078963726978,68.72,0.3420599,1473,"South",69.3,14.5,4.77931034482759
"Tulsa",2013,NA,77936,317065,7180,27732,0.0921268733319647,0.0874647154368978,0.0046621578950669,1.05330329918503,40.59,0.3447187,136,"South",76.2,9.9,7.6969696969697
"Wichita",2013,NA,51999,332892,9409,38186,0.180945787418989,0.114709875875659,0.0662359115433295,1.57742117701467,38.3,0.3657793,149,"Midwest",81.4,7.9,10.3037974683544
