Region,City,year,partialYearMonths,BlackPop,WhitePop,StanfordStopsBl,StanfordStopsWh,StanSearchBl,StanSearchWh,StanFriskBl,StanFriskWh,BlackProp,WhiteProp,DiffBlackMinusWhite,RatioBlackWhite,animus_score,implicit_score_mean,implicit_nobs,WhitePoliceShare,WhitePopShare,HispPoliceShare,HispPopShare,BlackPoliceShare,BlackPopShare,AsianPoliceShare,AsianPopShare,PoliceRatioWhBl,ProbSearchIfStopBl,ProbSearchIfStopWh,ProbSearchIfStopRatio,ProbSearchWh,ProbSearchBl,ProbSearchRatio,ProbFriskWh,ProbFriskBl,ProbFriskIfStopBl,ProbFriskIfStopWh,ProbFriskIfStopRatio,ProbFriskRatio,WhitePoliceOver,None
South,Nashville,2014,NA,192798.5556,439355.8889,128983.8889,184817.8889,7529.222222,5293.555556,3803.444444,2311.444444,0.673544444,0.422933333,0.2506,1.582266667,63.43,0.293288889,1254.555556,84.9,56,1,10.1,12.3,28.2,1.5,3.2,6.9,0.058996795,0.028149949,2.129689754,0.012150246,0.039302657,3.355880519,0.005321071,0.019941435,0.029123128,0.012164997,2.443964165,3.855475068,1.516071429,1
South,New Orleans,2014,7,233926.8889,130486.5556,22396.33333,7990.444444,2749.625,531.75,2029.875,335.375,0.101066667,0.064022222,0.037055556,1.613855556,61.94,0.257911111,866.5555556,38.5,30.7,1.9,5.4,58.2,59.4,1,3,0.66,0.122478864,0.066614544,1.846754696,0.004076197,0.011729484,3.023119589,0.002562215,0.008638353,0.090664419,0.042325653,2.145458723,3.49674247,1.254071661,1
West,Oakland,2014,10,174003,237874,12049.6,2568.8,3492.6,198.8,NA,NA,0.07068,0.01078,0.0599,6.71614,47.64,0.278911111,6103.333333,42.9,26.8,21.5,25.9,22.2,25.4,12,16.4,1.93,0.269815491,0.078184073,3.921967557,0.000804131,0.020131683,24.52155519,NA,NA,NA,NA,NA,NA,1.600746269,1
South,Oklahoma City,2014,10,114513.3333,498844.6667,14155.71429,61746.14286,NA,NA,NA,NA,0.126985714,0.1267,0.000285714,0.998,58.92,0.2959,782.6666667,85.5,55.8,4.7,18.3,6.7,14,0.8,4.1,12.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.532258065,1
Northeast,Philadelphia,2014,4,721165.5556,703016,153346.4,45982.2,7083.4,1647,10557.4,1491.8,0.24422,0.0735,0.17072,3.36064,77.93,0.304033333,6801.111111,56.8,36.3,8.2,13,33.4,41.7,1.5,6.5,1.7,0.049017056,0.036949033,1.299010466,0.002336259,0.009753946,4.49794727,0.002116998,0.014537651,0.068196217,0.031423566,2.176964659,7.288129346,1.564738292,1
Northeast,Pittsburgh,2014,4,82471.22222,220824.7778,8409.555556,13170.44444,8409.555556,13170.44444,1027.222222,670.3333333,0.110166667,0.063655556,0.046522222,1.7778,76.08,0.342966667,2143.222222,84.3,64.9,0.7,2.5,14.3,24.7,0.6,4.9,5.9,1,1,1,0.059736879,0.101356588,1.777802305,0.003041467,0.012354074,0.119626228,0.049318945,2.438440029,4.334986958,1.298921418,1
South,Raleigh,2014,NA,155488.6667,329212,33706.66667,28595.33333,1461.166667,441.8333333,159,8,0.2212,0.091266667,0.129933333,2.535133333,60.63,0.302522222,1412.666667,83.8,52.8,3.1,11.3,12.2,29.2,0.9,4.4,6.87,0.043767725,0.015398414,11.13624306,0.001434323,0.009616833,27.53011464,2.56E-05,0.001051428,0.004662782,0.000287362,11.13828682,27.70590965,1.587121212,1
South,San Antonio,2014,4,118578.4444,1306537.889,11932.71429,43444.28571,173,390.8571429,NA,NA,0.108371429,0.035685714,0.072671429,3.078228571,46.23,0.302988889,1043.222222,42.3,26.5,51.5,63,5.4,6.5,0,2.3,7.83,0.014041215,0.009282029,1.525166145,0.000297569,0.001458911,4.609094775,NA,NA,NA,NA,NA,NA,1.596226415,1
West,San Diego,2014,3,132084.5556,1227072.444,10673,40541.5,968.25,1127.5,NA,NA,0.081025,0.032675,0.048325,2.553025,52.04,0.314488889,2867.444444,65.7,43.3,19.6,29.9,6.5,6.4,4.3,16.5,10.11,0.089455358,0.029100415,3.154668021,0.000909376,0.007348712,8.03030092,NA,NA,NA,NA,NA,NA,1.517321016,1
West,San Francisco,2014,6,59516.11111,488306.8889,13642,32959.85714,2173.285714,871.2857143,NA,NA,0.246928571,0.072557143,0.174385714,3.508,47.64,0.2726,6790.333333,52.4,41.6,15.7,15.3,9,5.5,22.3,33.1,5.82,0.158416608,0.025365745,6.453922908,0.001818198,0.036599612,23.01592376,NA,NA,NA,NA,NA,NA,1.259615385,1
West,San Jose,2014,5,68239.22222,911415.3333,1241.166667,2672.5,290.1666667,332.1666667,NA,NA,0.020466667,0.00325,0.017216667,6.2271,47.64,0.309955556,2405.777778,56.3,27.7,24.4,33.4,4.7,2.7,3,32.6,11.98,0.229177946,0.125698945,1.881130208,0.000360807,0.004204353,11.59046172,NA,NA,NA,NA,NA,NA,2.032490975,1
West,Stockton,2014,1,69345.77778,231690.1111,2174,1710.6,540,170.2,NA,NA,0.03152,0.00736,0.02418,4.06246,61.89,0.277711111,315.8888889,65.3,21.6,22.9,42.1,2.3,10.6,8.2,21.3,28.39,0.239635014,0.094044709,2.591013024,0.000729598,0.007830806,10.46322505,NA,NA,NA,NA,NA,NA,3.023148148,1
South,Tampa,2014,3,103327.8889,260821.8889,41984.66667,91217,NA,NA,NA,NA,0.424388889,0.369644444,0.054722222,1.1691,68.72,0.327266667,2005.111111,69.3,46.1,14.3,22.6,14.5,24.7,1.6,3.8,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.503253796,1
South,Tulsa,2014,NA,77846.11111,318186.1111,6853.285714,26754.28571,NA,NA,NA,NA,0.087885714,0.0845,0.0034,1.035942857,40.59,0.304277778,517.3333333,76.2,57,2.6,14.6,9.9,14.9,1.3,2.5,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.336842105,1
Midwest,Wichita,2014,NA,51748.55556,333983.6667,10774.14286,42000.14286,NA,NA,NA,NA,0.206814286,0.126285714,0.080514286,1.625342857,38.3,0.319977778,366.8888889,81.4,63.8,7.1,15.9,7.9,11.1,3,4.7,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.275862069,1
South,Winston-Salem,2014,NA,93692.55556,144070.1111,16580,14625,349.8333333,247.8333333,4.5,2.666666667,0.177616667,0.103766667,0.073833333,1.7384,67.91,0.292955556,557.2222222,80.7,46.5,4,15.5,14.1,34,0.7,1.9,5.72,0.021056044,0.016716546,1.291832365,0.001763584,0.003747871,2.274294682,1.91E-05,4.82E-05,0.000278229,0.000178415,Inf,Inf,1.735483871,1
